"treatment","Trait","groups","combi","trait","Year","part","BBCH","group"
"Early_Patras",48.4541666666667,"a","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Early_Apertus",46.9425,"b","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Late_Apertus",46.8716666666667,"b","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Early_Capone",46.3883333333333,"b","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Late_Capone",45.0841666666667,"c","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Early_Torrild",43.2741666666667,"d","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Late_Torrild",42.1583333333333,"e","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Early_Pionier",41.4325,"ef","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Late_Pionier",40.7316666666667,"fg","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Early_Alves",40.6291666666667,"fg","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Early_Potenzial",40.355,"g","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Late_Potenzial",40.1466666666667,"g","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Late_Alves",40.0166666666667,"g","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Early_Esket",36.9741666666667,"h","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Late_Esket",36.28,"h","timeid:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Combined_Patras",49.3533333333333,"a","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Split_Patras",48.9816666666667,"ab","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Combined_Patras",48.3366666666667,"abc","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Combined_Capone",47.8216666666667,"bcd","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Combined_Apertus",47.6116666666667,"bcd","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Split_Patras",47.41,"cde","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Combined_Apertus",46.9783333333333,"cdef","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Split_Apertus",46.8916666666667,"def","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Split_Apertus",46.1466666666667,"efg","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Split_Capone",46,"fg","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Combined_Capone",45.1166666666667,"gh","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Split_Capone",44.0066666666667,"hi","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Combined_Torrild",43.9566666666667,"hi","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Combined_Pionier",42.675,"ij","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Split_Torrild",42.6383333333333,"ij","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Combined_Torrild",42.57,"j","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Combined_Alves",42.1183333333333,"j","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Combined_Potenzial",41.7766666666667,"jk","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Split_Torrild",41.7,"jkl","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Split_Pionier",40.6816666666667,"klm","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Split_Potenzial",40.6133333333333,"klm","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Combined_Pionier",40.5383333333333,"klm","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Split_Pionier",40.4333333333333,"klm","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Split_Alves",40.3366666666667,"lmn","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Combined_Alves",39.89,"mno","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Combined_Potenzial",39.62,"mno","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Split_Potenzial",38.9933333333333,"no","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Split_Alves",38.9466666666667,"o","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Combined_Esket",37.235,"p","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"176_Split_Esket",36.6183333333333,"p","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Combined_Esket",36.455,"p","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"220_Split_Esket",36.2,"p","nitrogen:appl:var","plot_tkw","DFG2020","plot","87","2020-07-23"
"Apertus",7.84782608695652,"a","var","plot_yield","DFG2020","plot","87","2020-07-23"
"Capone",7.84405637254902,"a","var","plot_yield","DFG2020","plot","87","2020-07-23"
"Pionier",7.74479166666667,"ab","var","plot_yield","DFG2020","plot","87","2020-07-23"
"Patras",7.72120098039216,"ab","var","plot_yield","DFG2020","plot","87","2020-07-23"
"Potenzial",7.65073529411765,"ab","var","plot_yield","DFG2020","plot","87","2020-07-23"
"Esket",7.60477941176471,"ab","var","plot_yield","DFG2020","plot","87","2020-07-23"
"Torrild",7.54319852941177,"b","var","plot_yield","DFG2020","plot","87","2020-07-23"
"Alves",7.49571078431373,"b","var","plot_yield","DFG2020","plot","87","2020-07-23"
"220_Early",8.52711397058824,"a","nitrogen:timeid","plot_yield","DFG2020","plot","87","2020-07-23"
"220_Late",7.7765012254902,"b","nitrogen:timeid","plot_yield","DFG2020","plot","87","2020-07-23"
"176_Early",7.26908635794743,"c","nitrogen:timeid","plot_yield","DFG2020","plot","87","2020-07-23"
"176_Late",7.14139093137255,"d","nitrogen:timeid","plot_yield","DFG2020","plot","87","2020-07-23"
"Split_Apertus",8.21256684491979,"a","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Split_Capone",8.0171568627451,"ab","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Split_Patras",7.95955882352941,"ab","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Split_Pionier",7.90073529411765,"abc","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Split_Esket",7.87622549019608,"abcd","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Split_Torrild",7.80208333333333,"bcde","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Split_Potenzial",7.71691176470588,"bcde","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Split_Alves",7.69117647058823,"bcdef","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Combined_Capone",7.67095588235294,"bcdef","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Combined_Pionier",7.58884803921569,"cdefg","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Combined_Potenzial",7.58455882352941,"cdefg","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Combined_Apertus",7.51348039215686,"defg","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Combined_Patras",7.4828431372549,"efg","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Combined_Esket",7.33333333333333,"fg","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Combined_Alves",7.30024509803922,"g","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Combined_Torrild",7.2843137254902,"g","appl:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Early_Capone",8.23468137254902,"a","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Early_Apertus",8.06951871657754,"ab","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Early_Pionier",8.03186274509804,"ab","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Early_Patras",7.99387254901961,"abc","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Early_Potenzial",7.8578431372549,"bcd","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Early_Esket",7.7328431372549,"bcde","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Early_Torrild",7.69424019607843,"cdef","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Late_Apertus",7.64460784313725,"defg","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Early_Alves",7.63664215686275,"defg","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Late_Esket",7.47671568627451,"efg","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Late_Pionier",7.45772058823529,"efg","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Late_Capone",7.45343137254902,"efg","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Late_Patras",7.44852941176471,"efg","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Late_Potenzial",7.44362745098039,"efg","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Late_Torrild",7.3921568627451,"fg","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"Late_Alves",7.3547794117647,"g","timeid:var","plot_yield","DFG2020","plot","87","2020-07-23"
"220_Split_Torrild",11.32399994338,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Split_Capone",11.0254999448725,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Split_Potenzial",10.5387499473063,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Pionier",10.4222499478887,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Capone",10.1904999490475,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Split_Potenzial",10.1387499493063,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Combined_Torrild",9.9934999500325,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Split_Esket",9.6314999518425,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Split_Pionier",9.62224995188875,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Split_Apertus",9.03074995484625,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Split_Patras",8.92724995536375,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Split_Apertus",8.64399995678,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Split_Pionier",8.48624995756875,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Combined_Capone",8.00799995996,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Combined_Potenzial",7.4304999628475,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Apertus",7.34274996328625,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Torrild",7.2414999637925,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Split_Esket",7.238999963805,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Combined_Esket",7.090999964545,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Combined_Pionier",7.064999964675,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Combined_Alves",7.0524999647375,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Patras",7.01424996492875,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Combined_Apertus",6.888999965555,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Split_Patras",6.316999968415,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Potenzial",6.182999969085,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Alves",6.0624999696875,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Esket",5.89274997053625,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Split_Capone",5.8399999708,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Combined_Patras",5.67224997163875,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"220_Split_Alves",3.93774998031125,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Split_Alves",3.5594999822025,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Split_Torrild",3.32374998338125,"a","nitrogen:appl:var","post61_DM","DFG2020",NA,"61_87","biomass"
"176_Combined",0.637429538768216,"a","nitrogen:appl","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Split",0.603744240956456,"ab","nitrogen:appl","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Split",0.592237355428521,"ab","nitrogen:appl","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Combined",0.546963954001563,"b","nitrogen:appl","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Combined_Torrild",0.766468972230497,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Split_Esket",0.761602854091612,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Split_Pionier",0.746377181305383,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Split_Patras",0.733744877113453,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Combined_Pionier",0.729429518337868,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Split_Potenzial",0.729136177794566,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Split_Torrild",0.70875035184786,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Split_Apertus",0.692230219685779,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Split_Capone",0.683373455339032,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Split_Potenzial",0.678343066246663,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Combined_Esket",0.673055113321451,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Combined_Capone",0.669709456634463,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Split_Pionier",0.668744487831162,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Combined_Potenzial",0.649611590760407,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Combined_Pionier",0.626330683692089,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Combined_Capone",0.621898254250096,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Split_Apertus",0.611310135177678,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Combined_Alves",0.607162754904434,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Combined_Apertus",0.59156916898951,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Combined_Torrild",0.544355957732295,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Combined_Patras",0.533481196292611,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Split_Esket",0.529291542065889,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Split_Patras",0.528566201899541,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Combined_Apertus",0.527134249250581,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Combined_Esket",0.517862503414669,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Combined_Patras",0.515528569612876,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Split_Capone",0.485381352309929,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Combined_Alves",0.463828495732725,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Combined_Potenzial",0.437721457001655,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Split_Alves",0.421574687243826,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Split_Alves",0.315794303762328,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"176_Split_Torrild",0.273631877365117,"a","nitrogen:appl:var","post61_DM_rel","DFG2020",NA,"61_87","biomass"
"220_Combined_Pionier",0.097977392209423,"a","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Split_Capone",0.0880205600452845,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Torrild",0.0870878829761332,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Split_Potenzial",0.0844923523102206,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Split_Torrild",0.0802867708146662,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Split_Apertus",0.0797703891583378,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Split_Potenzial",0.0788132131279115,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Split_Pionier",0.0772257033966764,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Split_Esket",0.0715856718458767,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Split_Patras",0.0694298814544328,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Capone",0.0691641296352742,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Alves",0.0689620738402174,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Apertus",0.0641475355677125,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Esket",0.0571329263573329,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Potenzial",0.0549856782065167,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Torrild",0.0546227504188013,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Potenzial",0.0545587222820139,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Pionier",0.0527796933245566,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Apertus",0.0523248156687711,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Split_Pionier",0.0512333698168908,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Patras",0.0492953894947607,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Split_Esket",0.0439004379246903,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Capone",0.0433669338870229,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Patras",0.0398255276139724,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Alves",0.0397300540346798,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Split_Apertus",0.0385442543568658,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Split_Patras",0.0375675971067944,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Split_Capone",0.0363857090027865,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Esket",0.0297547754654862,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Split_Torrild",0.022667870987378,"ab","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"220_Split_Alves",0.0190007629384687,"b","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Split_Alves",0.0114818569060758,"b","nitrogen:appl:var","post61_N","DFG2020",NA,"61_87","nitrogen"
"176_Split_Apertus",0.478690552294586,"a","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Torrild",0.469774261282436,"ab","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Split_Pionier",0.455839857972044,"ab","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Split_Potenzial",0.450852559201151,"ab","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Split_Patras",0.43907235703646,"abc","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Alves",0.420012540188789,"abcd","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Split_Esket",0.414425184797308,"abcd","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Pionier",0.411602445797869,"abcd","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Esket",0.398376097202226,"abcd","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Split_Potenzial",0.358904053751561,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Potenzial",0.357447488231336,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Split_Capone",0.355845324207173,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Pionier",0.347373170579342,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Apertus",0.339832511536938,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Split_Torrild",0.322711791706035,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Apertus",0.300725385826974,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Capone",0.295664153380105,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Capone",0.28745403212945,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Split_Pionier",0.263563908289886,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Combined_Patras",0.263402217639902,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Torrild",0.235946630731402,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Potenzial",0.229948230441937,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Split_Esket",0.229705926613337,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Patras",0.229598714334977,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Split_Patras",0.22455187650273,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Split_Capone",0.196539558052043,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Alves",0.196452913983295,"abcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Split_Apertus",0.190320203459585,"bcde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Combined_Esket",0.161263135060691,"cde","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220_Split_Alves",0.1353532687373,"de","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Split_Torrild",0.133364170137779,"de","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"176_Split_Alves",0.0925389427431683,"e","nitrogen:appl:var","post61_N_rel","DFG2020",NA,"61_87","nitrogen"
"220",5.11756247441219,"a","nitrogen","pre61_DM","DFG2020",NA,"61_87","biomass"
"176",4.0701406046493,"b","nitrogen","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Early",5.7164999714175,"a","nitrogen:timeid","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Late",4.51862497740687,"b","nitrogen:timeid","pre61_DM","DFG2020",NA,"61_87","biomass"
"176_Late",4.25809372870953,"b","nitrogen:timeid","pre61_DM","DFG2020",NA,"61_87","biomass"
"176_Early",3.88218748058906,"b","nitrogen:timeid","pre61_DM","DFG2020",NA,"61_87","biomass"
"176_Split_Torrild",7.73624996131875,"a","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"176_Split_Alves",7.184999964075,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Alves",6.55824996720875,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Split_Esket",5.87674997061625,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Split_Alves",5.8474999707625,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Split_Patras",5.80024997099875,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Torrild",5.7984999710075,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Potenzial",5.77324997113375,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Apertus",5.74924997125375,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Capone",5.3724999731375,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Patras",5.28524997357375,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"220_Combined_Esket",5.284999973575,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
"176_Split_Capone",5.100999974495,"ab","nitrogen:appl:var","pre61_DM","DFG2020",NA,"61_87","biomass"
